file_name,track_id,subset,bit_rate,duration,genre_top,genre_class,train-test,title
000002.mp3,000002,small,256000,168,Hip-Hop,3,Train,AWOL - A Way Of Life
000005.mp3,000005,small,256000,206,Hip-Hop,3,Test,AWOL - A Way Of Life
000010.mp3,000010,small,192000,161,Pop,6,Train,Constant Hitmaker
000140.mp3,000140,small,128000,253,Folk,2,Train,The Blind Spot
000141.mp3,000141,small,128000,182,Folk,2,Train,Every Man For Himself
000148.mp3,000148,small,256000,138,Experimental,1,Train,Contradiction
000182.mp3,000182,small,256000,228,Rock,7,Test,Worn Copy
000190.mp3,000190,small,256000,249,Folk,2,Test,Blue Piano
000193.mp3,000193,small,256000,254,Folk,2,Train,Blue Piano
000194.mp3,000194,small,256000,192,Folk,2,Train,Blue Piano
000197.mp3,000197,small,256000,68,Folk,2,Train,Blue Piano
000200.mp3,000200,small,256000,194,Folk,2,Train,Blue Piano
000203.mp3,000203,small,256000,195,Folk,2,Train,Blue Piano
000204.mp3,000204,small,256000,324,Folk,2,Test,Blue Piano
000207.mp3,000207,small,256000,96,Folk,2,Test,Blue Piano
000210.mp3,000210,small,256000,184,Folk,2,Train,Blue Piano
000211.mp3,000211,small,256000,247,Folk,2,Train,Blue Piano
000212.mp3,000212,small,256000,230,Folk,2,Train,Blue Piano
000213.mp3,000213,small,256000,247,Pop,6,Train,Au
000255.mp3,000255,small,256000,182,Rock,7,Test,On Opaque Things
000256.mp3,000256,small,256000,202,Rock,7,Train,Black Elk
000368.mp3,000368,small,256000,280,Rock,7,Test,30th Anniversary Blah Blah Blah
000424.mp3,000424,small,256000,76,Experimental,1,Test,The Definitive Host
000459.mp3,000459,small,128000,301,Rock,7,Train,Butthash
000534.mp3,000534,small,128000,80,Folk,2,Train,One Mind
000540.mp3,000540,small,128000,309,Folk,2,Test,One Mind
000546.mp3,000546,small,128000,319,Folk,2,Test,One Mind
000574.mp3,000574,small,219522,267,Rock,7,Train,Babylon Rules
000602.mp3,000602,small,160000,445,Folk,2,Train,Clones of Eros
000615.mp3,000615,small,256000,519,Experimental,1,Test,Immaterial
000620.mp3,000620,small,256000,205,Folk,2,Train,Viridian City
000621.mp3,000621,small,256000,161,Folk,2,Test,Rainy Day Song
000625.mp3,000625,small,256000,234,Folk,2,Test,Rainy Day Song
000666.mp3,000666,small,256000,235,International,5,Train,summer 2008 demos
000667.mp3,000667,small,256000,246,International,5,Train,summer 2008 demos
000676.mp3,000676,small,256000,197,Hip-Hop,3,Train,Change Thoughts (radio edit)
000690.mp3,000690,small,256000,290,Rock,7,Train,Cataclysm
000694.mp3,000694,small,160000,291,Hip-Hop,3,Test,mp3 single with Faust
000695.mp3,000695,small,160000,104,Hip-Hop,3,Train,Cock Rock Disco 2006 Free Compilation
000704.mp3,000704,small,256000,310,International,5,Train,Macondo
000705.mp3,000705,small,256000,369,International,5,Train,Macondo
000706.mp3,000706,small,256000,312,International,5,Train,Macondo
000707.mp3,000707,small,256000,330,International,5,Train,Macondo
000708.mp3,000708,small,256000,289,International,5,Train,Macondo
000709.mp3,000709,small,192000,192,International,5,Test,Macondo
000714.mp3,000714,small,256000,338,Folk,2,Train,The Cult From Moon Mountain
000715.mp3,000715,small,256000,283,Folk,2,Train,Kobold Moon
000716.mp3,000716,small,256000,297,Folk,2,Train,Kobold Moon
000718.mp3,000718,small,256000,128,Folk,2,Train,Kobold Moon
